Registro_ANS;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
405817;3,13682E+12;E M I   EMERGÊNCIAS MÉDICAS INTEGRADAS LTDA.;E M I   EMERGÊNCIAS;Medicina de Grupo;RUA ANTONIO DA COSTA LIMA;11;;ASSUNÇÃO;São Bernardo do Campo;SP;9850580;11;43524000;43524000;emiemerg@prover.com.br;MARIA CRISTINA AMORÍN BONILLA;;;03/07/1999
413216;4,24215E+12;E M S - EMPRESA MATO-GROSSENSE DE SAÚDE LIMITADA;VIP VIDA;Medicina de Grupo;AVENIDA CORONEL ESCOLÁSTICO;256;;CENTRO;Cuiabá;MT;78048200;65;3210457;;sdbarros@terra.com.br;GUILHERME ANTONIO MALUF;SÓCIO GERENTE;;02/03/2001
309168;1,2123E+12;E&E ADMINISTRAÇÃO E CONSULTORIA EM PLANOS DE SAÚDE LTDA;E&E ADMINISTRAÇÃO E CONSULTORIA EM PLANOS DE SAÚDE LTDA;Administradora;RUA PEDRO DE TOLEDO;665;LOJA 2;CENTRO;Indaiatuba;SP;13330090;19;38758951;38252071;EE@EE.COM.BR;EDMAR MESQUITA;DIRETOR;4;29/12/1998
415227;6,99805E+12;E- NOVA ODONTOLOGIA LTDA;E-NOVA ODONTO;Odontologia de Grupo;RUA DOUTOR GERALDO CAMPOS MOREIRA;240;4º ANDAR - SALA 03;MONÇÕES;São Paulo;SP;4571020;11;21124524;21124696;cassia@enovaodonto.com.br;CASSIA TEREZINHA LOPES DE ALCANTARA GIL;RESPONSAVEL TECNICA;4;03/05/2005
337226;3,51263E+13;E.C.D SERVIÇOS DE SAÚDE LTDA;E.C.D SERVIÇOS DE SAÚDE LTDA;Medicina de Grupo;AV. DOS HOLANDESES - CENTURY MULTIEMP;14;SALA 1.119, QD. 11 - A, LOTE 14;SÃO MARCOS;São Luís;MA;65076300;98;30823310;30899070;long-life@uol.com.br;EDVAM CAMARA DINIZ;SÓCIOS-ADMINISTRADOR;3;18/12/1998
320528;2,32742E+12;E.F - CLÍNICA ODONTOLÓGICA S/C LTDA.;;Odontologia de Grupo;Av. Rodrigues Alves;16-19;;VILA BONFIM;Bauru;SP;17013000;14;2277706;;oralsaudebauru@uol.com.br;EMERSON ZAGATTO DOMINGUES;SÓCIO DIRETOR;;27/01/1999
403075;4,78617E+11;ECDENT ASSISTENCIA ODONTOLOGICA S/C LTDA;DENTSAUDE;Odontologia de Grupo;RUA JOAQUIM MOURÃO ;353;;CENTRO;Leme;SP;13610070;19;35715205;35715205;DENTSAUDE@LINKWAY.COM.BR;ELZA MARIA CARNEIRO MENDES FERREIRA DOS SANTOS;SOCIA GERENTE;;05/04/1999
414093;4,06585E+11;ECO DIAGNÓSTICO S/C LIMITADA;ECO DIAGNÓSTICOS;Medicina de Grupo;RUA FERREIRA CANTÃO;454;ED. CENTRO MÉD. DR. C. COSTA - S. TÉRREA;BATISTA CAMPOS;Belém;PA;66015280;91;2410818;2140583;;MANUEL DAS GRAÇAS DE SOUSA;SÓCIO GERENTE;;20/07/2001
420069;2,29281E+13;ECO SAÚDE PLANO EMPRESARIAL LTDA - EPP;ECO SAUDE EMPRESARIAL;Medicina de Grupo;AV JERÔNIMO DE ALBUQUERQUE MARANHÃO;1;RUA 99 - LOTEAMENTO COHAMA;VINHAIS;São Luís;MA;65074199;98;9832362689;;fernandoricardo_f@hotmail.com;FERNANDO RICARDO ASSUNÇÃO FRANÇA;SÓCIO ADMINISTRADOR;6;18/02/2016
414298;7,1737E+13;ECOLE SERVIÇOS MÉDICOS LTDA;AMR - ASSISTÊNCIA MÉDICA REGIONAL;Medicina de Grupo;RUA BRIGADEIRO GAVIÃO PEIXOTO;587;;LAPA;São Paulo;SP;5078000;11;31555360;;ans.ndi@hapvida.com.br;LUIZ CELSO DIAS LOPES;DIRETOR SEM DESIGNAÇÃO ESPECIFICA;4;05/04/2002
34764;7,1737E+13;ECOLE SERVIÇOS MÉDICOS S/C LTDA.;CLINICA GAVIAO PEIXOTO;Medicina de Grupo;R. BRIGADEIRO GAVIAO PEIXOTO;587;;LAPA;São Paulo;SP;5078000;11;8370022;;;;;;12/01/1999
409057;1,86096E+12;EDITORA COCHRANE BRASIL LTDA.;COCHRANE;Autogestão;ROD.ENG.ERMENIO DE OLIVEIRA PENTEADO;KM 47;;CALDEIRA;Indaiatuba;SP;13330990;19;3885 8751;3885 8751;ee@ee.com.br;INEZ P. SOARES;REPRESENTANTE;;19/10/1999
402028;9,61444E+12;EDSON ROMÃO DA SILVA - ME;ODONTO CARD;Medicina de Grupo;RUA DR. PEDRO MONTEIRO;54;1º ANDAR;CENTRO;Maceió;AL;57020380;82;32236100;32236100;odontocd@vircom.br;EDSON ROMÃO DA SILVA;SÓCIO PROPRIETÁRIO;;12/03/1999
411540;3,58049E+12;ELCA ASSISTÊNCIA ODONTOLÓGICA S/C LTDA;ELCA;Odontologia de Grupo;RUA SANTA VIRGÍNIA;68-A;SALAS 08 E 09;TATUAPÉ;São Paulo;SP;3084000;11;69414609;69414609;elca@uol.com.br;CELO ANTONIO DEL SANTO;DIRETOR;4;20/06/2000
344699;4,25402E+13;ELETROBRAS TERMONUCLEAR S.A - ELETRONUCLEAR;ELETRONUCLEAR;Autogestão;RUA DA CANDELÁRIA;65;2º AO 10º ANDAR;CENTRO;Rio de Janeiro;RJ;20091020;21;25887401;25887244;vmedina@eletronuclear.gov.br;VALÉRIA CASTRO MEDINA;GERENTE ADM. DE BENEFÍCIOS;1;29/12/1998
334715;7,43262E+13;ELETRODIAGNOSTICO S/C LTDA;;Medicina de Grupo;RUA PEDRO FIORETTI;346;;CENTRO;Osasco;SP;6013070;11;36817565;;;CLAUDIA TRETTIN PORCIUNCULA;SÓCIO GERENTE;;25/01/1999
356891;73957000168;ELETROSUL CENTRAIS ELÉTRICAS S/A;ELETROSUL;Autogestão;RUA DEPUTADO ANTONIO EDU VIEIRA;999;;PANTANAL;Florianópolis;SC;88040901;48;31317971;32345932;amaury@eletrosul.gov.br;NARA MARIA DA SILVA;GERENTE DE DIVISÃO - DIBP;4;23/12/1998
422967;4,28021E+13;ELEVE ADMINISTRADORA DEBENEFÍCIOS LIMITADA;CUIDE ADMINISTRADORA DE BENEFICIOS  ;Administradora de Benefícios;Q 2 CONJ C;LT 6;;SETOR DE INDUSTRIAS BERNARDO S;Brasília;DF;71736970;21;39235406;;HENRIQUE@AMCONTADORES.COM.BR;CELSO DO AMARAL MELLO NETO;SOCIO - ADMINISTRADOR;;08/09/2021
328961;4,39406E+13;ELI LILLY DO BRASIL LTDA.;ELI LILLY DO BRASIL LTDA.;Autogestão;AV. MORUMBÍ;8264;;BROOKLIN;São Paulo;SP;4703002;11;5326724;5325018;mediservice@mediservice.com.br;AUGUSTO CLAUDIA DA S. ARRAES;GERENTE DE MEDICINA OCUPACIONA;;24/12/1998
403717;7,40834E+11;ELIODONTO S/C LTDA;ELIODONTO S/C LTDA;Odontologia de Grupo;AV COMENDADOR FRANCISCO AVELINO MAIA;3127;B;CENTRO;Passos;MG;37900001;35;35224064;35224064;lvavelar@uai.com.br;ELI ANTONIO CERAVOLO GUIMARAES;SOCIO GERENTE;;26/04/1999
418391;1,34237E+13;ELITE SAÚDE ADMINISTRADORA DE BENEFÍCIOS LTDA;;Administradora de Benefícios;AVENIDA MARECHAL FLORIANO;191;SALA 401;CENTRO;Rio de Janeiro;RJ;20080005;21;22335075;;;RENATO ALMEIDA DE MELO;REPRESENTANTE LEGAL;3;12/01/2012
350672;8,90064E+11;ELLUS ODONTOLOGIA PLANEJADA S/C LTDA.;;Odontologia de Grupo;R. D. PEDRO  II;87;SALA  02;CENTRO;Santos;SP;11010080;13;32612738;;;MARIA APARECIDA GOMES DA COSTA MEDEIROS;SÓCIO - GERENTE;;25/01/1999
418421;1,31228E+13;ELO ADMINISTRADORA DE BENEFÍCIOS LTDA;ELO ADMINISTRADORA;Administradora de Benefícios;SCN QUADRA 4 BLOCO B;S/N;SALA 604;ASA NORTE;Brasília;DF;70714020;11;31914081;;juridico_regulatorio_5@qualicorp.com.br;EDUARDO RIBEIRO FARIA DE OLIVEIRA;REPRESENTANTE;4;24/02/2012
421138;2,78728E+13;ELOS ADMINISTRADORA DE BENEFÍCIOS LTDA;ELOS ADMINISTRADORA DE BENEFÍCIOS;Administradora de Benefícios;AVENIDA HENRIQUE MOSCOSO;1019;SALA 709;CENTRO;Vila Velha;ES;29100907;27;34411343;;financeiro@elosadministradora.com.br;ANDREIA SANTANA FRINHANI;ADMINISTRADORA;5;27/11/2017
351245;1,71784E+13;EMBRA - ESTRUTURAS METALICAS BRASILEIRAS LTDA.;EMBRA;Autogestão;AV. BEIRA RIO;1500;;MOREIRA;Santa Luzia;MG;33010970;31;36414888;36414664;embra@globalsite.com.br;MORVAN FIGUEIREDO PENNA;DIRETOR TÉCNICO;;28/12/1998
303569;6,02085E+13;EMBRAER EMPRESA BRASILEIRA DE AERONAUTICA SA;EMBRAER;Autogestão;AV BRIGADEIRO FARIA LIMA;2170;;PUTIM;São José dos Campos;SP;12227901;12;39278691;39273555;ines.cid@embraer.com.br;CARMINE SARAO NETO;GERENTE DE DESENVOLVIMENTO DE ;;29/12/1998
334782;3,48003E+11;EMBRAPA - EMPRESA BRASILEIRA DE PESQUISA AGROPECUÁRIA;EMBRAPA - EMPRESA BRASILEIRA DE PESQUISA AGROPECUÁRIA;Autogestão;PARQUE ESTAÇÃO BIOLOGICA - PQEB ;S/N;ED.EMBRAPA SEDE;ASA NORTE;Brasília;DF;70770901;61;4484286;3471041;cds@embrapa.br;REGINA LÚCIA RAMOS LOURENÇO;COORDENADORA CDS/DGP;1;23/12/1998
414158;3,39292E+12;EMERGÊNCIA PARAÍBA LTDA.;VIDAS ASSISTÊNCIA MÉDICA;Medicina de Grupo;AV. EPITÁCIO PESSOA;3747;;MIRAMAR;João Pessoa;PB;58040000;83;32475011;32475011;emergenciapb@ig.com.br;PEDRO TEODORO DA SILVA;DIRETOR COMERCIAL;;07/08/2001
34853;1,95027E+13;EMH - ELETROMECANICA E HIDRAULICA LTDA;EMH;Autogestão;AV. SOLFERINA RICCI PACE;300;;DISTRITO INDUSTRIAL DO JATOBÁ;Belo Horizonte;MG;30664000;31;3856009;3856609;emh@emh.com.br;EDUARDO RIBEIRO GOMES;GERENTE GERAL;;24/12/1998
416541;7,36805E+12;EMJJ FERNANDES ADMINISTRADORA DE PLANO ODONTOLOGICO LTDA;EMJJ;Odontologia de Grupo;RUA DO ROSARIO;77;1005;CENTRO;Fortaleza;CE;60055090;85;32526588;32526588;CELLO_CHEHAB@HOTMAIL.COM;EDSON NUNES FERNANDES;SOCIO GERENTE;;30/01/2008
359939;1,69047E+13;EMPREENDIMENTOS E PARTICIPAÇOES DOMINGOS ZEMA LTDA.;;Autogestão;AV. JOSÉ ANANÍAS DE AGUIAR;5005;;SÃO GERALDO;Araxá;MG;38180200;34;36691723;36691720;dp@grupozema.com.br;RICARDO ZEMA;GERENTE;;30/12/1998
353761;3,40283E+13;EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS;EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS;Autogestão;SBN QUADRA 1 BLOCO A TÉRREO;1;;ASA NORTE;Brasília;DF;70002900;61;2419;34262418;desau-caixa@correios.com.br;ERICA TORRES PINHEIRO MARTINS;CHEFE DEPTO. DE RELAC. ORGANIZACIONAL;1;23/12/1998
325457;3,66914E+11;EMPRESA BRASILEIRA DE PLANEJAMENTO DE TRANSPORTES - GEIPOT;;Autogestão;SAN QUADRA 03 -  BLOCOS N/O ;2º andar;ED. NUCLEO DOS TRANSPORTES;ASA NORTE;Brasília;DF;70040902;61;3154869;3154859;seass@antaq.gov.br;MOACYR ROBERTO DE LIMA;LIQUIDANTE;3;29/12/1998
320587;3,35305E+13;EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES S.A;EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES;Autogestão;AV PRESIDENTE VARGAS;1012;3* ANDAR;CENTRO;Rio de Janeiro;RJ;20179900;;;;central.atendimento@planoamap.com.br;ALBERT CARVALHO JUNQUEIRA;Representante perante a ANS ;;05/01/1999
411795;6,08761E+13;EMPRESA DE ELETRICIDADE VALE PARANAPANEMA;REDE - EMPRESAS DE ENERGIA ELÉTRICA;Autogestão;AV. PAULISTA;2439;4º ANDAR;CERQ. CESAR;São Paulo;SP;1311936;11;30662000;30609691;simone.araujo@gruporede.com.br;CARMEM CAMPOS PEREIRA;DIRETOR GERENTE;3;21/07/2000
338613;1,8239E+13;EMPRESA DE INFORMATICA E INFORMAÇÃO DO MUNICIPIO DE BELO HORIZONTE S/A;PRODABEL;Autogestão;AV. PRESIDENTE CARLOS LUZ;1275;;CAIÇARAS;Belo Horizonte;MG;31230000;31;8458;4623016;vvs@pbh.gov.br;PAULO DE MOURA RAMOS;DIRETOR PRESIDENTE;;28/12/1998
306525;4,16571E+13;EMPRESA DE TRANSPORTES E TRÂNSITO DE BELO HORIZONTE S.A. - BHTRANS;BHTRANS;Autogestão;AV. ENGENHEIRO CARLOS GOULART;900;PREDIO 1/GEAPE;BURITIS;Belo Horizonte;MG;30455902;31;33795689;33795683;mattos@pbh.gov.br;DIOGO OSCAR BORGES PROSDOCIMI;REPRESENTANTE LEGAL;4;04/01/1999
411779;6,09423E+13;EMPRESA ELÉTRICA BRAGANTINA S/A;REDE - EMPRESAS DE ENERGIA ELÉTRICA;Autogestão;AV. PAULISTA;2439;5º ANDAR;CERQUEIRA CÉSAR;São Paulo;SP;1311936;11;30662000;30609691;simone.araujo@gruporede.com.br;CARMEM CAMPOS PEREIRA;DIRETOR;3;21/07/2000
410322;2,78165E+13;EMPRESA GERENCIAL DE PROJETOS NAVAIS;EMGEPRON;Autogestão;ILHA DAS COBRAS EDIFÍCIO 08;8;3º ANDAR;CENTRO;Rio de Janeiro;RJ;20091907;21;38496856;39071851;pamse@egpron.mar.mil.br;ALEXANDRE RODRIGUES VIVEIROS;D. ADMINISTRATIVO-FINANCEIRO;4;21/12/1999
34494;7,81338E+13;EMPRESA PARANAENSE DE ASSISTENCIA TÉCNICA E EXTENSAO RURAL;EMATER-PARANÁ;Autogestão;RUA DA BANDEIRA;500;;CABRAL;Curitiba;PR;80035270;41;3521616;2541052;fapa@fapa.org.br;;;;23/12/1998
413143;6,1496E+11;EMPRODONT ASSISTENCIA ODONTOLOGICA LTDA ;EMPRODONT ASSISTENCIA ODONTOLOGICA EMPRESARIAL LTDA.;Odontologia de Grupo;RUA DOS PRAZERES ;537;;CENTRO;São Luís;MA;65021000;98;2324960;2324960;emprodont@click21.com.br;ELANE DE JESUS SOUSA CUTRIM;SOCIO;;12/02/2001
327964;2,68735E+12;EMPRODONT CLINICA ODONTOLOGICA S/C LTDA;EMPRODONT CLINICA ODONTOLOGICA S/C LTDA;Odontologia de Grupo;RUA DOS PRAZERES;537;;CENTRO;São Luís;MA;65021000;98;2324960;2324960;EDULARIA@ELO.COM.BR;ELANE DE JESUS CUTRIM FALCAO;SOCIO;;28/12/1998
352373;7,29477E+13;EMTREPREV ASSISTÊNCIA MÉDICA HOSPITALAR S/C LTDA;EMTREPREV SAÚDE;Medicina de Grupo;RUA BENTO DA CRUZ;247;;CENTRO;Birigui;SP;16200053;18;6426549;6421349;emtreprev@emtreprev.com.br;SINVALDO DE OLIVEIRA DIAS;DIRETOR ADMINISTRATIVO;;07/01/1999
368741;1,03582E+11;ENGEVIX ENGENHARIA S/C LTDA.;ENGEVIX ENGENHARIA S/C LTDA.;Autogestão;RUA MAJOR SERTÓRIO;128;;CENTRO;São Paulo;SP;1222000;11;2351800;2589168;mediservice@mediservice.com.br;EDUARDO DA S. BARRETO;GERENTE DE RECURSOS HUMANOS;;28/12/1998
334464;2,22435E+12;ENODIO ABREU JUNIOR;ARRECIFES SAUDE;Medicina de Grupo;RUA DIOGO VELHO;33;;CENTRO;João Pessoa;PB;58013110;83;2217080;2217080;www.dental@zazjpa.com.br;ENODIO ABREU JUNIOR;SÓCIO;;03/02/1999
405922;2,95423E+12;ESPECIAL SAÚDE S/C LTDA;ESPECIAL SAÚDE;Administradora;R. APOTRIBU;139;CJ. 24;SAÚDE;São Paulo;SP;4302000;11;55848420;2760051;dr.edson@especialsaude.com.br;VALÉRIA CONCEIÇÃO RAMUTH;SÓCIA;;30/06/1999
322849;2,81527E+13;ESPÍRITO SANTO CENTRAIS ELÉTRICAS S/A - ESCELSA;ESCELSA;Autogestão;Rua Sete de Setembro;362;;CENTRO;Vitória;ES;29015000;27;33484172;33484172;jmagno@escelsa.com.br;SÉRGIO PEREIRA PIRES;DIRETOR ECÔNOMICO FINANCEIRO;;30/12/1998
420905;7,69908E+12;ESTALEIRO ATLÂNTICO SUL S/A;;Autogestão;OTR ILHA DE TATUOCA;S/N;Complexo Ind Portuário Gov Eraldo Gueiro;IPOJUCA;Ipojuca;PE;55590000;81;32243358;;marconi.souza@easbr.com;MARCONI SOARES DE SOUZA;GERENTE DE SMS;;18/04/2017
405795;8,93186E+11;ESTRATEGIA SAUDE LTDA;;Medicina de Grupo;RUA ISABEL SCHMIDT;226;1º ANDAR;SANTO AMARO;São Paulo;SP;4743030;11;56875688;22640999;sasaude@sasaude.com.br;JOSÉ MAURO DE LIMA;DIRETOR;4;03/07/1999
393380;4,04471E+13;ETERBRAS TEC. INDUSTRIAL LTDA.;ETERBRÁS TEC. INDUSTRIAL LTDA.;Autogestão;AV. PRES. JUSCELINO KUBITSCHEK;1.830;TORRE 3 - 5º ANDAR;ITAÍM BIBI;São Paulo;SP;4543000;11;8221000;8290350;mediservice@mediservice.com.br;;;;28/12/1998
419494;2,01894E+13;ETHOS ADMINISTRADORA DE BENEFÍCIOS LTDA;ETHOS ADMINISTRADORA DE BENEFÍCIOS LTDA;Administradora de Benefícios;RUA MARQUÊS DE ITU;408;CONJUNTO 21;VILA BUARQUE;São Paulo;SP;1223000;11;970712525;22427862;SALVIONII@TERRA.COM.BR;JOSÉ MANOEL NEVES AGUIAR;DIRETOR MÉDICO;4;02/09/2014
402443;2,85532E+12;EUCEBRAQ EMPRESAS UNIDAS CELIO BRASIL QUARESMA LTDA;METROPAX;Autogestão;PRAÇA FLORIANO PEIXOTO;10/B;;SANTA EFIGÊNIA;Belo Horizonte;MG;30150360;31;2414010;2412702;metropax@zipmail.com.br;VIVIANNE DE CASSIA BRASIL;;;22/03/1999
402656;3,03367E+12;EURODENT ASSISTÊNCIA ODONTOLÓGICA LTDA.;;Medicina de Grupo;ALAMEDA SANTOS;336;CJ. 72;BELA VISTA;São Paulo;SP;1814000;11;8855821;8855821;;VERA LUCIA SPOSATO LOUZADA;;;29/03/1999
411965;4,18028E+12;EVADIN INDUSTRIAS AMAZONIA S.A.;EVADIN;Autogestão;AV. BURITI;2350;;DISTRITO INDUSTRIAL;Manaus;AM;69075000;92;6133100;6132642;mcorrea@evadin.com.br;MAURICIO CORREA LÓPEZ;PROCURADOR;;21/08/2000
410179;3,01236E+13;EVERCROSS PLANEJAMENTO DE ASSISTÊNCIA MÉDICA LTDA. - EM LIQUIDAÇÃO EXTRAJUDICIAL;;Medicina de Grupo;RUA BARATA RIBEIRO;543;SALA 1104;COPACABANA;Rio de Janeiro;RJ;22040001;21;25394142;25394083;contato@evercross.com.br;FABIANA PEREIRA MORAES;LIQUIDANTE EXTRAJUDICIAL;4;09/12/1999
417017;7,42416E+12;EVO SAUDE ODONTOLOGICA S/S;;Odontologia de Grupo;RUA 256;127;;MEIA PRAIA;Itapema;SC;88220000;47;30469559;;patrick@evodonto.com.br;PATRICK MARLON PALHAMO;ADMINISTRADOR;5;03/07/2009
34861;1,73595E+13;EXACTA ENGENHARIA DE PROJETOS S.A;EXACTA;Autogestão;AV. RAJA GABAGLIA;3077;3 ANDAR, CONJ. 301;SAO BENTO;Belo Horizonte;MG;30350540;31;2962200;2964072;exacta@planetarrium.com.br;;;;30/12/1998
411051;3,51706E+12;EXCELSIOR MED S/A;SAUDE EXCELSIOR;Medicina de Grupo;AVENIDA PAULISTA;1842;CONJUNTOS NºS 185, 186, 187 E 188 PARTE;BELA VISTA;São Paulo;SP;1310200;21;38054491;38051088;representanteans@amil.com.br;ALEXANDRE GINO CAMARGO ZORNIG;REPRESENTANTE LEGAL;2;04/01/2000
319261;2,42994E+12;EXECUTIVE MED CONSULTORIA & NEGÓCIOS LTDA;EXECUTIVE MED;Medicina de Grupo;AV. DOS ANDRADAS;302;SALA 708;CENTRO;Belo Horizonte;MG;30120010;31;2744990;2744990;executiv@bis.com.br;GUSTAVO FERREIRA GRANIER;;;17/12/1998
418765;1,43679E+13;EXECUTIVO ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benefícios;RUA EUCLIDES DA CUNHA ;105;;GONZAGA;Santos;SP;11065100;21;35531692;;LEONARDO@UNIMEDICASAUDE.COM;JAIME PORTO;ADMINISTRADOR;2;11/01/2013
405752;2,22338E+12;FACIL ASSESSORIA EMPRESARIAL LTDA;;Odontologia de Grupo;RUA MARECHAL DEODORO;857;6 ANDA SAL 602;CENTRO;Curitiba;PR;80060010;41;33764453;;facilodontologia@vrs.com.br;HAMILTON RODRIGUES;SÓCIO - GERENTE;4;03/07/1999
330493;6,51788E+13;FAI UNIPAX AMBULATORIOS REUNIDOS LTDA;;Medicina de Grupo;TEÓFILO OTONI,;321;;CENTRO;Sete Lagoas;MG;31515080;31;32412424;32412039;viniciuscoutinho@paxdeminas.com.br;JOSE ROBERTO REIS DE CARVALHO;SOCIO GERENTE;1;04/01/1999
418188;4,82313E+12;FALCK BRASIL PLANOS DE SAÚDE LTDA.;BETIM SAUDE;Administradora de Benefícios;PREFEITO ARISTEU FERREIRA DA SILVA;1277;PARTE;GRANJA DOS CAVALEIROS;Macaé;RJ;27930070;21;22536143;;DTAVARES@MACHADOMEYER.COM.BR;JENS GAARDSVIG;ADMINISTRADOR;3;15/08/2011
319589;7,09387E+11;FALENCIA DE - ODONTO QUALITY ASSISTENCIA ODONTOLOGICA LTDA.;ODONTO QUALITY;Odontologia de Grupo;AV. DUQUE DE CAXIAS;231;;SANTA CECÍLIA;São Paulo;SP;1214100;11;2220233;2220233 R:15;;MARIA LUCIA GOLONI;SÓCIA-DIRETORA;;28/12/1998
312461;9,70028E+13;FALÊNCIA DE - CENTRO CLÍNICO PATER LTDA.;CENTRO CLÍNICO PATER LTDA.;Medicina de Grupo;AV. TAQUARA;317;PRÉDIO;PETRÓPOLIS;Porto Alegre;RS;90460260;51;33332534;33332534 ramal 21;pater@terra.com.br;ARISTIDES ELIAS DA SILVEIRA JÚNIOR;SÓCIO-GERENTE;4;22/12/1998
300284;7,15828E+13;FALÊNCIA DE - CLAM CENTRAL DE ASSISTÊNCIA MÉDICA S/C LTDA;CLAM CENTRAL DE ASSISTÊNCIA MÉDICA S/C LTDA;Medicina de Grupo;Avenida Tenente Marques;5701;sala 01;FAZENDINHA;Santana de Parnaíba;SP;6500000;11;33504300;33617000;sinaic.a@terra.com.br;SÉRGIO KENDI MOROTO;SOCIO DIRETOR;;23/12/1998
308111;2,94397E+12;FALÊNCIA DE - CLISAMA OPERADORA DE PLANOS DE SAUDE SC LTDA.;CLISAMA;Medicina de Grupo;RUA VISCONDE DE NACAR;702;;CENTRO;Curitiba;PR;80410200;41;3227373;3227373;clisama@clisama.com.br;ERIC ISAAC TAVARES DA SILVA;DIRETOR ADMINISTRATIVO;4;27/01/1999
411418;3,53492E+12;FALÊNCIA DE - CLÍNICA DE ESPECIALIDADES MÉDICAS NOVA SAÚDE LTDA.;TOP MED;Medicina de Grupo;RUA SÃO VICENTE;123;;JARDIM;Santo André;SP;9090460;11;44275909;44275909;novasaude@uol.com.br;NEWTON LOPES FERNANDES;DIRETOR;5;30/05/2000
309681;1,91987E+12;FALÊNCIA DE - COMED MEDICINA LTDA.;COMED;Medicina de Grupo;RUA CABO AILSON SIMOES;616;;CENTRO;Vila Velha;ES;29100320;27;33202200;33202200;tecnicontabil@tecnicontabil.com.br;NELSON SERRA E GURGEL;DIRETOR-SUPERINTENDENTE;;24/12/1998
337960;7,64909E+13;FALÊNCIA DE - HOSPITAL E MATERNIDADE SÃO CARLOS LTDA.;HOSPITAL E MATERNIDADE SÃO CARLOS LTDA.;Medicina de Grupo;Rua Cel. Francisco H. dos Santos ;1540;;JARDIM DAS AMÉRICAS;Curitiba;PR;81530000;41;3663477;3663446;isomedsaude@aol.com.br;MANUEL ADOLFO VIDALON ZAMBRANO;SÓCIO GERENTE;;24/12/1998
405396;5,92779E+13;FALÊNCIA DE - HOSPITAL MIGUEL DE CERVANTES S/A;ISOMED SAÚDE EMPRESARIAL E FAMILIAR;Medicina de Grupo;RUA: BARALDI;670;;CENTRO;São Caetano do Sul;SP;9510000;11;4535544;4535544 R:2015;planohospmc@zipmail.com.br;MANUEL ADOLFO VIDALON ZAMBRANO;DIRETOR PRESIDENTE;;25/06/1999
306631;4,7724E+13;FALÊNCIA DE - INASA HOSPITALAR LTDA.;INASA;Medicina de Grupo;RUA TABAJARA;626;;MACEDO;Guarulhos;SP;7111120;11;64637700;2081966;contatosassessoriacontabil@bol.com.br;MARILUCI JUNG;DIRETORA PRESIDENTE;;22/12/1998
413852;3,58629E+12;FALÊNCIA DE - M. A. S. GESTER COMÉRCIO E REPRESENTAÇÕES;MASTER SAÚDE;Medicina de Grupo;RUA ANTÔNIO BAENA;44;;BAIRRO DE FÁTIMA;Belém;PA;66085050;91;2897300;2897322;master_s@terra.com.br;MARCO ANTONIO SAMPAIO GESTER;DIRETOR PRESIDENTE;;13/06/2001
375471;6,22011E+13;FALÊNCIA DE - MEDIC S/A MEDICINA ESPECIALIZADA À INDÚSTRIA E AO COMERCIO;MEDIC;Medicina de Grupo;RUA PADRE GUILHERME DE POMPEU;1;;CENTRO;Santana de Parnaíba;SP;6500000;11;33464446;33464410;medic@medic.com.br;ANTONIO ESTEVÃO GARCIA PALLARES;DIRETOR SUPERINTENDENTE;4;24/12/1998
324248;1,06693E+12;FALÊNCIA DE - NANUBI PARTICIPAÇÕES E REPRESENTAÇÕES LTDA.;MEDICAL PLAN;Medicina de Grupo;RUA PRESIDENTE VARGAS;s/n;;CENTRO;Fundão;ES;29185000;27;2004012 R:28;2004012 R:28;;JOSÉ AMÉRICO GONÇALVES;;;20/01/1999
380962;2,54835E+12;FALÊNCIA DE - ODONTO NORTE MEDICINA DE GRUPO LTDA;MED SAÚDE;Medicina de Grupo;Rua Campos Sales ;2283;;CENTRO;Porto Velho;RO;78902080;69;0800.69.2838;2.214.000;odonto1@osite.com.br;PEDRO BERNARDO DE OLIVEIRA;SÓCIO - GERENTE;;29/12/1998
356905;6,50503E+13;FALÊNCIA DE - PINDAMED SOCIEDADE CIVIL LTDA.;PRÓ-VALE SAÚDE;Medicina de Grupo;AV. ARISTIDES JOAQUIM DE OLIVEIRA;115;1º ANDAR;CENTRO;Pindamonhangaba;SP;12421090;12;242 5122;242 5122;pindamed@iconet.com.br;EDSON CARLOS FRAGA DA SILVA;DIRETOR ;;22/12/1998
411299;3,71534E+12;FALÊNCIA DE - PLANOS DE ASSISTÊNCIA MÉDICA E ODONTOLÓGICA MAIS SAÚDE LTDA.;MAIS  SAÚDE;Medicina de Grupo;RUA VISCONDE DE  INHAÚMA;435;;MAURICIO NASSAU;Caruaru;PE;55012010;81;37228700;37228704;msaude@msaude.com.br;RICARDO DE CARVALHO SANTOS;DIRETOR ADMINISTRATIVO E FINAN;5;10/05/2000
